English Meaning,Acholi Headword (Source),Proposed Leb Thur Word,Verified Leb Thur Word,Part of Speech,Notes
Father,aba,aba,aba,Noun,Family relation / Father.
Foolish / Stupid,abal,destroyer or sinner,destroyer or sinner,Adjective,Corrected definition.
Chair / Stool,abed,gibedo / kabedo / then / kom,gibedo / kabedo / then / kom,Noun,Regional variants.
Yesterday,acaye,work,work,Adverb,Updated mapping.
Clay pot,agulu,agulu,agulu,Noun,Traditional vessel.
Shield,akori,kwot,kwot,Noun,Protective gear.
I / Me,an,an,an,Pronoun,First person singular.
Hare / Rabbit,apwoyo,apwoyo,apwoyo,Noun,Small mammal.
Laziness,ataco,wackom,wackom,Noun,State of being lazy.
Split open / Flay,bany,bany,bany,Verb,Action verb.
Wide / Bright,bar,bar,bar,Adjective,Descriptive term.
To sit / Stay,bedo,bedo,bedo,Verb,Stative verb.
Millet,bel,kal,kal,Noun,Updated crop term.
To come,bino,bino,bino,Verb,Motion verb.
Bark of a tree,bok,pok,pok,Noun,Plant anatomy.
Edible grasshopper,bonyo,bonyo,bonyo,Noun,Insect delicacy.
Drum,bul,bul,bul,Noun,Musical instrument.
Food / To eat,cam,cem,cem,Noun/Verb,Vowel shift.
Sun / Daytime,ceng,ceng,ceng,Noun,Celestial body.
To promise / Warn,ciko,ciko,ciko,Verb,Communication.
Early morning,cilio,keko,keko,Noun,Updated term.
To go,cito,cidho,cidho,Verb,Phonetic shift.
Bone,cok,cog,cog,Noun,Terminal consonant shift.
Husband / Man,cwa,cwa,cwa,Noun,Family role.
Person / Human being,dano,dano,dano,Noun,Basic noun.
Mouth / Opening,dog,dhog,dhog,Noun,Phonetic shift.
To return,dok,dok,dok,Verb,Motion verb.
Grandfather,doo,akwar,akwar,Noun,Updated term.
Voice / Noise,dwong,down,down,Noun,Updated term.
Tail,ec,yib,yib,Noun,Animal anatomy.
He / She / It,en,en,en,Pronoun,Third person singular.
To reach / Arrive,eno,eno,eno,Verb,Motion verb.
Bangle / Bracelet,gal,mola,mola,Noun,Ornament.
To answer / Receive,gam,gam,gam,Verb,Action verb.
To prevent / Block,gengo,gengo,gengo,Verb,Action verb.
End / Finish,gik,gik,gik,Noun/Verb,Completion.
Clan / Household,gol,gol,gol,Noun,Social structure.
To bend,guko,guko,guko,Verb,Action verb.
Stomach / Inside,ic,ic,ic,Noun,Anatomy.
You,in,in,in,Pronoun,Second person singular.
To sleep,inino,inino,inino,Verb,Rest action.
Cheek,ipok,thwok,thwok,Noun,Anatomy shift.
Spirit / Deity,jok,jwok,jwok,Noun,Cultural term.
Shine / Bright,jony,ryeny,ryeny,Adjective,Visual descriptor.
Shock,lworo,bulakino,bulakino,noun, describing emotion.
To wear,jwalo,ruko,ruko,Verb,Clothing action.
Millet / Granary,kal,kal,kal,Noun,Contextual meanings.
Place,kama,kanya,kanya,Noun,Location term.
To pass,kato,kato,kato,Verb,Motion verb.
Help / Assist,kony,kony,kony,Verb/Noun,Aid.
Leopard,kwac,kwac,kwac,Noun,Wild animal.
To refuse / Reject,kwero,kwero,kwero,Verb,Action verb.
Tooth,lak,lak,lak,Noun,Anatomy.
To pray / Bless,lam,lam,lam,Verb,Spiritual action.
Tongue / Language,leb,leb,leb,Noun,Speech/organ.
Fear / To fear,lworo,lworo,lworo,Noun/Verb,Emotion.
Fire,mac,mac,mac,Noun,Energy source.
Tall / High,malong,nabor,nabor,Adjective,Dimension.
Mother-in-law / Love,maro,maro,maro,Noun/Verb,Relationship.
To drink,mat,madhi,madhi,Verb,Ingestion action.
Sweet / Delicious,mit,mit,mit,Adjective,Taste.
Women / Wives,mon,mon,mon,Noun,Plural noun.
To kill,nak,nek,nek,Verb,Action verb.
Lake / River,nam,nam,nam,Noun,Water body.
Day / Sleep,nino,nino,nino,Noun/Verb,Time/rest.
To give birth,nywal,nywal,nywal,Verb,Biological action.
Near / Close,ocok,ocok,ocok,Adjective,Proximity.
Baboon,okeno,anger,anger,Noun,Animal term.
Lost,olal,olal,olal,Adjective,State.
To arrive,oo,oo,oo,Verb,Motion verb.
House / Hut,ot,ot,ot,Noun,Building.
Home / Village,paco,paco,paco,Noun,Settlement.
Earth / World,piny,piny,piny,Noun,Location.
Water,pii,pii,pii,Noun,Liquid.
Cloud,pol,pol,pol,Noun,Weather.
Garden / Farm,poto,poto,poto,Noun,Agriculture.
Bad / Ugly,rac,rac,rac,Adjective,Quality.
To meet / Enough,romo,romo,romo,Verb,Encounter.
Chief / King,rwot,rwoth,rwoth,Noun,Leadership.
Wisdom,ryeko,ryeko,ryeko,Noun,Cognitive attribute.
Chin / Jaw,tak,tak,tak,Noun,Anatomy.
Small / Children,tino,tino,tino,Adjective/Noun,Size.
To tell / Explain,tito,tito,tito,Verb,Communication.
Death / To die,too,too,too,Noun/Verb,State/action.
Is / Are / Exists,tye,tye,tye,Verb,Existence.
Paddle / Oar,wal,wal,wal,Noun,Tool.
Eye / Face,wang,wang,wang,Noun,Anatomy.
Bird / To hear,winyo,winyo,winyo,Noun/Verb,Animal/perception.
Journey / Walk,wot,woth,woth,Noun/Verb,Movement.
Wind / Air,yamo,yamo,yamo,Noun,Weather.
Path / Way / Road,yo,yo,yo,Noun,Route.
Healthy / Strong,yot,yot,yot,Adjective,Condition.
